,NAME,TEAM,elo
208,Jackson Cronin,George Washington,1128.039553
209,Elijah Moskowitz,North Carolina St.,1127.924069
210,Kale Adams,Adams State,1127.685842
211,Dustin Horter,Indiana,1127.220961
212,Garrett Marsing,BYU,1126.838834
213,Kyle Havriliak,Northern Arizona,1125.134598
214,Luke Beattie,Utah State,1124.179451
215,Cornelius Kapel,UTEP,1124.15
216,Zac Jacklin,BYU,1123.846032
217,Trent Lancaster,George Mason,1123.689553
218,John Carter Blunt,UCLA,1123.285842
219,Matt Young,Arkansas,1123.238814
220,Patrick O'Brien,Dartmouth,1123.04679
221,Kyle Thompson,Gonzaga,1121.555513
222,David Rosas,Providence,1120.620097
223,Rodgers Korir,UTEP,1119.35
224,Wyatt Diderickson,Idaho State,1119.284557
225,Brennan Fields,Kentucky,1118.888814
226,Kevin Salvano,Notre Dame,1117.632216
227,Nicholas Laccinole,Washington,1116.370097
228,Mark Freyhof,Nebraska,1116.252342
229,Paul Power,Villanova,1115.092537
230,Matthew Rainey,American,1115.064553
231,Ben Holland,Cal Poly,1114.585842
232,Perrin Hagge,Princeton,1114.135548
233,Kramer Morton,BYU,1114.072828
234,Quinn Cooney,Dartmouth,1113.440337
235,Daniel Soto,Iowa,1113.316859
236,Antoine Senard,Eastern Kentucky,1112.635539
237,Andrew Kent,Georgia Tech,1112.145097
238,Stuart McCallum,Portland,1111.245206
239,Josh Maier,Southern Illinois,1110.611998
240,Daniel Mountcastle,UC Santa Barbara,1110.285842
241,Michael Kiernan,Quinnipiac,1110.194128
242,Alan Burns,Youngstown St.,1109.85
243,Tyler Keslin,Notre Dame,1108.841859
244,John Aho,Michigan,1108.249295
245,Amir Ado,Washington St.,1108.244634
246,Toby Cooke,New Mexico,1107.936857
247,Mitchell Day,Wake Forest,1107.76982
248,Emmanuel Roudolff-Levisse,Portland,1107.40624
249,Blair Hurlock,Stanford,1106.010842
250,John Nownes,UNIA,1105.686998
251,Chris Negri,Dayton,1104.391859
252,Simon Smith,Syracuse,1104.368786
253,El Hocine Bouchrak,High Point,1103.684519
254,Gavin Gaynor,North Carolina St.,1103.405629
255,Derick Peters,Wisconsin,1102.844073
256,Collin Crilly,St. Joseph's (Pa.),1102.314553
257,Gavin Parpart,Washington,1102.312521
258,Nikhil Pulimood,Duke,1101.805513
259,Trelani Waters,Hoka Aggies,1101.760842
260,ROBBY CREESE,UNA,1101.738814
261,Elijah Armstrong,Boise State,1101.24351
262,Luke Anderson,Central Michigan,1100.55
263,Jacob Bilvado,Air Force,1100.407882
264,Peter Hogan,Gonzaga,1099.872018
265,Reuben Kiprono,Portland,1098.785896
266,Ryan James,La Salle,1098.114553
267,Albert Kosgei,Louisville,1097.842985
268,Huruy Zeratsion,San Jose St.,1097.535842
269,Joseph Murphy,Indiana,1095.986998
270,Ben Naeger,Saint Louis,1095.975
271,Martin Barr,Villanova,1095.667759
272,Spencer Danielson,Dayton,1095.591859
273,Franco Martins,Brown,1095.495097
274,Kevin Lapsansky,Temple,1094.256622
275,Luke Coulter,Stony Brook,1093.914553
276,Logan Marshall,Cal Poly,1093.335842
277,Jordan Hewitt,Michigan,1092.462888
278,Jeff Lautenslager,Boise State,1091.519992
279,Ben Varghese,East Tenn. St.,1091.461744
280,Silas Kipngetich,Auburn,1091.391549
281,Justin Domanque,UT-Arlington,1091.241859
282,Elliot Gindi,Northern Arizona,1091.211998
283,Patrick Spychalski,Unattached,1089.739553
284,Millen Trujillo,UCLA,1089.160842
285,Nate Beamer,Washington,1087.320097
286,Colt Griffith,Clemson,1086.975
287,Dillon Dean,Samford,1086.636744
288,Ethan Moehn,Arkansas,1086.480538
289,Christian Liddell,Georgetown,1085.63863
290,Kyle Barber,Connecticut,1085.589553
291,Alex Merder,Cal Poly,1085.010842
292,Mason Coppi,Furman,1084.784638
293,Tyson Green,Weber State,1083.307039
294,Forrest Barton,Colorado St.,1082.975
295,Jake Ogden,Furman,1082.87494
296,Jack Rowe,San Francisco,1082.784058
297,Tyler Johnson,Calvin,1082.525
298,Andrew Cooper,Washington St.,1081.886998
299,Jonathan Schloth,George Mason,1081.464553
300,Connor Weaver,BYU,1081.432562
301,Euan Makepeace,Butler,1081.023407
302,Andrew Ehrenberg,UCLA,1080.885842
303,Anthony Russo,Penn,1080.838814
304,Brodie Modini,North Carolina,1079.245097
305,Noah Schutte,Portland,1079.05624
306,Adam Hendrickson,Utah State,1078.755513
307,Cody Baele,Illinois State,1078.41716
308,Jacob Stone,Weber State,1078.391859
309,Marcus Skinner,Eastern Illinois,1078.1
310,Jack Yearian,Oregon,1077.583576
311,Sam Ritz,Columbia,1077.364553
312,Kyler Little,Washington St.,1077.311998
313,Edwin Rutto,North Carolina St.,1077.073288
314,Alex Crigger,Tennessee,1077.012424
315,Mikey Giguere,Cal Poly,1076.785842
316,Karl Thiessen,Tennessee,1075.526528
317,Rob Morro,Villanova,1074.219563
318,Jonathan Ellis,Calvin,1073.725
319,Isai Rodriguez,Oklahoma State,1073.468409
320,Alex Milligan,North Carolina,1073.32549
321,Greg Fusco,Cornell,1073.289553
322,Alex Miley,Duke,1073.285066
323,Hunter Gilbert,Campbell,1073.117927
324,Joey DeFeo,Northern Arizona,1072.786998
325,Nathan Wadhwani,Washington St.,1072.62928
326,Matthew Pereira,Harvard,1072.627892
327,Dan Romano,Northeastern,1071.245097
328,Brannon Cheplak,Tennessee Tech,1069.780264
329,Eric Coston,LSU,1069.4
330,Michael McGonnigle,Connecticut,1069.239553
331,Morgan Beadlescomb,Unattached,1068.85
332,Bryce Quigley,Oklahoma State,1068.311998
333,Christian Allen,Weber State,1067.563894
334,Paul Hogan,UMass Lowell,1067.505513
335,Matthew Novak,Virginia,1067.270097
336,Nathan Henderson,Syracuse,1065.934601
337,Andy Weber,George Washington,1065.214553
338,Riad Rababeh,Central Michigan,1065.125
339,Artin Allahverdian,UCLA,1064.635842
340,Patrick Schaefer,Kentucky,1064.511532
341,Johnny Pace,Virginia,1064.488814
342,Evan Ferlic,Minnesota,1064.401017
343,JP Flavin,Dayton,1064.356793
344,Michael Watts,Stony Brook,1063.320097
345,Isaac Harding,Michigan,1062.19076
346,Zach Boone,UNC-Asheville,1062.059519
347,Garett Cortez,Incarnate Word,1061.766859
348,Christian Kazanjian,Duquesne,1060.9
349,Rowan Doherty,Simon Fraser,1060.660842
350,Tyson Miehe,Wisconsin,1059.776457
351,Daniel Pederson,Marquette,1059.6807
352,Liam Conway,UNA-Stanford,1058.671684
353,Joe Bistritz,North Carolina St.,1058.57646
354,Spencer Smucker,High Point,1057.684519
355,Steven Cross,Florida State,1057.3986
356,Hunter Boyer,Air Force,1057.342341
357,Tomas Reimer,Cornell,1057.239553
358,Cam Trout,Indiana State,1056.725
359,Luis Chavez,San Jose St.,1056.710842
360,Sam Lomax,Portland,1056.009071
361,Alexander Kushen,Dartmouth,1055.495097
362,Mark Middleton,Tulsa,1055.186998
363,Noah Charles,East Tenn. St.,1054.561744
364,Michael Ottesen,BYU,1054.475
365,Thomas Little,UNC-Asheville,1053.359519
366,Liam Purdy,American,1053.289553
367,Toby Hardwick,Florida State,1053.285066
368,Cameron Proceviat,Unattached,1052.785842
369,Caleb Ferguson,Calvin,1052.6
370,Davone Hernandez,VMI,1050.236744
371,Dallin Farnsworth,BYU,1049.875
372,Ryan Mitchell,Monmouth,1049.339553
373,Sage Turner,UNC-Asheville,1049.084519
374,Clayton Mendez,UNA-Stanford,1048.885842
375,Jacob Perry,Texas A&M,1048.622948
376,Bashir Mosavel-Lo,Virginia Tech,1048.538814
377,TJ Sugg,Baylor,1048.5
378,Cooper Teare,Una-7,1047.487624
379,Ryan Ford,Tennessee-Martin,1046.987436
380,Trent Powell,Colorado St.,1046.925
381,Ben Bryant,Samford,1045.961744
