Elo rank,NAME,TEAM,elo
260,Mitchell Day,Wake Forest,1158.556466
261,Tyson Miehe,Wisconsin,1158.399694
262,Ethan Gonzales,Colorado,1157.877946
263,Samuel Abascal,Eastern Kentucky,1157.783761
264,Chad Johnson,Iowa State,1157.46153
265,Garett Cortez,Incarnate Word,1157.439181
266,Justin Domangue,UT-Arlington,1157.189882
267,Kyle Burdick,South Dakota St.,1156.890604
268,Toby Hardwick,Florida State,1156.091891
269,Ethan Moehn,Arkansas,1155.718551
270,JP Flavin,Dayton,1155.69927
271,Michael Watts,Stony Brook,1155.512598
272,Noah Schaub,Bowling Green,1155.435111
273,Michael Vernau,Stanford,1154.977128
274,Kenny Vasbinder,Columbia,1154.614553
275,TIMOTHY McGOWAN,UNA PSU,1154.388814
276,John Carter Blunt,UCLA,1153.933562
277,Dillon Dean,Samford,1153.285247
278,El Hocine Bouchrak,High Point,1153.193751
279,Alex Rogers,Texas,1152.211208
280,Jake Ritter,Cal Poly,1150.060842
281,Jeffrey Kirshenbaum,Lehigh,1148.961701
282,Jordan Hewitt,Michigan,1148.787885
283,Augostine Lisoreng,Liberty,1147.166874
284,Evan Ferlic,Minnesota,1146.709669
285,Paul Luevano,Boston U.,1146.645097
286,Joseph Murphy,Indiana,1145.903684
287,Joshua Joseph,Adams State,1145.535842
288,Bryce Millar,Indiana,1144.127759
289,Daniel Hintz,Wyoming,1143.338631
290,Mick Stanovsek,Washington,1142.245097
291,Eric van der Els,Connecticut,1141.239553
292,Dan Schumacher,Columbia,1141.078122
293,Meika Beaudoin-Rousseau,UNA-Stanford,1141.035842
294,Avery Bartlett,Georgia Tech,1140.554082
295,Jack Salisbury,Georgetown,1140.550274
296,Matthew Bouthillette,Georgetown,1139.923569
297,Viraj Deokar,Princeton,1138.915874
298,Jeremy Brown,North Carolina,1137.870097
299,John Nownes,Iowa State,1137.795382
300,Kevin Salvano,Notre Dame,1137.572671
301,Christopher Torpy,Miami (Ohio),1136.120083
302,Luke Beattie,Utah State,1135.710385
303,John Rice,Texas,1135.212033
304,Riley Campbell,Boise State,1134.948001
305,Kelvin Kirui,Campbell,1133.925454
306,Manuel de Backer,Saint Louis,1133.85
307,Joseph Meade,Texas State,1133.764882
308,Ibrahim Kedir,La Salle,1132.414553
309,Salvador Capetillo,Mt. SAC,1132.110842
310,Alex Crigger,Tennessee,1131.732892
311,Ryan McGorty,William and Mary,1131.553362
312,Justin Moakler,Morehead State,1131.339188
313,Carmeron Dickson,Northeastern,1131.001534
314,Haran Dunderdale,Bradley,1130.496108
315,Alex Tomasko,Penn State,1129.769973
316,Vann Moffett,Stony Brook,1129.195097
317,Boaz Ronoh,UTEP,1128.975
318,Michael Ward,Bradley,1128.870382
319,Alex Milligan,North Carolina,1128.190484
320,Jackson Cronin,George Washington,1128.039553
321,Kevin Lapsansky,Temple,1127.975571
322,Dominic Dyer,Columbia,1127.843443
323,Kale Adams,Adams State,1127.685842
324,Luke Anderson,Central Michigan,1127.087224
325,Garrett Marsing,BYU,1126.838834
